split,primary_condition_id,n_sequences
test,length=mid|net_charge_pH7=high|hydrophobicity_KD=low,1386
test,length=mid|net_charge_pH7=high|hydrophobicity_KD=mid,1196
test,length=high|net_charge_pH7=high|hydrophobicity_KD=mid,965
test,length=low|net_charge_pH7=high|hydrophobicity_KD=low,862
test,length=mid|net_charge_pH7=high|hydrophobicity_KD=high,807
test,length=high|net_charge_pH7=high|hydrophobicity_KD=low,751
test,length=mid|net_charge_pH7=mid|hydrophobicity_KD=high,696
test,length=low|net_charge_pH7=mid|hydrophobicity_KD=low,596
test,length=mid|net_charge_pH7=low|hydrophobicity_KD=high,512
test,length=high|net_charge_pH7=low|hydrophobicity_KD=mid,491
test,length=low|net_charge_pH7=mid|hydrophobicity_KD=high,486
test,length=low|net_charge_pH7=high|hydrophobicity_KD=high,423
test,length=mid|net_charge_pH7=mid|hydrophobicity_KD=mid,400
test,length=high|net_charge_pH7=low|hydrophobicity_KD=high,397
test,length=high|net_charge_pH7=mid|hydrophobicity_KD=mid,390
test,length=mid|net_charge_pH7=mid|hydrophobicity_KD=low,340
test,length=high|net_charge_pH7=high|hydrophobicity_KD=high,304
test,length=mid|net_charge_pH7=low|hydrophobicity_KD=mid,300
test,length=high|net_charge_pH7=mid|hydrophobicity_KD=high,276
test,length=high|net_charge_pH7=low|hydrophobicity_KD=low,273
test,length=low|net_charge_pH7=low|hydrophobicity_KD=high,266
test,length=mid|net_charge_pH7=low|hydrophobicity_KD=low,266
test,length=high|net_charge_pH7=mid|hydrophobicity_KD=low,256
test,length=low|net_charge_pH7=mid|hydrophobicity_KD=mid,202
test,length=low|net_charge_pH7=high|hydrophobicity_KD=mid,189
test,length=low|net_charge_pH7=low|hydrophobicity_KD=mid,116
test,length=low|net_charge_pH7=low|hydrophobicity_KD=low,104
train,length=high|net_charge_pH7=high|hydrophobicity_KD=mid,1731
train,length=low|net_charge_pH7=low|hydrophobicity_KD=high,1536
train,length=high|net_charge_pH7=high|hydrophobicity_KD=low,1266
train,length=mid|net_charge_pH7=high|hydrophobicity_KD=low,1260
train,length=low|net_charge_pH7=mid|hydrophobicity_KD=high,1227
train,length=mid|net_charge_pH7=mid|hydrophobicity_KD=high,1174
train,length=low|net_charge_pH7=mid|hydrophobicity_KD=low,1164
train,length=mid|net_charge_pH7=low|hydrophobicity_KD=high,1099
train,length=high|net_charge_pH7=low|hydrophobicity_KD=mid,1053
train,length=high|net_charge_pH7=mid|hydrophobicity_KD=mid,1026
train,length=mid|net_charge_pH7=high|hydrophobicity_KD=mid,1019
train,length=low|net_charge_pH7=high|hydrophobicity_KD=low,1006
train,length=mid|net_charge_pH7=mid|hydrophobicity_KD=mid,923
train,length=mid|net_charge_pH7=low|hydrophobicity_KD=mid,886
train,length=low|net_charge_pH7=low|hydrophobicity_KD=low,823
train,length=high|net_charge_pH7=low|hydrophobicity_KD=high,802
train,length=mid|net_charge_pH7=mid|hydrophobicity_KD=low,766
train,length=mid|net_charge_pH7=low|hydrophobicity_KD=low,751
train,length=mid|net_charge_pH7=high|hydrophobicity_KD=high,738
train,length=low|net_charge_pH7=mid|hydrophobicity_KD=mid,694
train,length=high|net_charge_pH7=mid|hydrophobicity_KD=high,682
train,length=high|net_charge_pH7=high|hydrophobicity_KD=high,624
train,length=high|net_charge_pH7=low|hydrophobicity_KD=low,619
train,length=low|net_charge_pH7=low|hydrophobicity_KD=mid,588
train,length=high|net_charge_pH7=mid|hydrophobicity_KD=low,506
train,length=low|net_charge_pH7=high|hydrophobicity_KD=high,281
train,length=low|net_charge_pH7=high|hydrophobicity_KD=mid,241
val,length=high|net_charge_pH7=high|hydrophobicity_KD=mid,1214
val,length=mid|net_charge_pH7=high|hydrophobicity_KD=high,1095
val,length=mid|net_charge_pH7=mid|hydrophobicity_KD=high,1057
val,length=mid|net_charge_pH7=high|hydrophobicity_KD=low,977
val,length=high|net_charge_pH7=high|hydrophobicity_KD=low,852
val,length=mid|net_charge_pH7=high|hydrophobicity_KD=mid,784
val,length=high|net_charge_pH7=mid|hydrophobicity_KD=mid,639
val,length=low|net_charge_pH7=mid|hydrophobicity_KD=high,637
val,length=mid|net_charge_pH7=low|hydrophobicity_KD=high,532
val,length=high|net_charge_pH7=high|hydrophobicity_KD=high,514
val,length=high|net_charge_pH7=mid|hydrophobicity_KD=high,478
val,length=high|net_charge_pH7=low|hydrophobicity_KD=mid,434
val,length=low|net_charge_pH7=high|hydrophobicity_KD=low,432
val,length=mid|net_charge_pH7=mid|hydrophobicity_KD=mid,406
val,length=high|net_charge_pH7=low|hydrophobicity_KD=high,373
val,length=high|net_charge_pH7=mid|hydrophobicity_KD=low,321
val,length=high|net_charge_pH7=low|hydrophobicity_KD=low,313
val,length=low|net_charge_pH7=low|hydrophobicity_KD=high,310
val,length=low|net_charge_pH7=mid|hydrophobicity_KD=low,284
val,length=mid|net_charge_pH7=mid|hydrophobicity_KD=low,277
val,length=mid|net_charge_pH7=low|hydrophobicity_KD=mid,264
val,length=low|net_charge_pH7=high|hydrophobicity_KD=high,259
val,length=mid|net_charge_pH7=low|hydrophobicity_KD=low,254
val,length=low|net_charge_pH7=mid|hydrophobicity_KD=mid,178
val,length=low|net_charge_pH7=high|hydrophobicity_KD=mid,151
val,length=low|net_charge_pH7=low|hydrophobicity_KD=low,131
val,length=low|net_charge_pH7=low|hydrophobicity_KD=mid,82
