condition_id,n,surrogate_hit_rate,model_tag,seed
0,56,0.8571428571428571,retrieval,42
1,114,0.9473684210526315,retrieval,42
2,120,0.9166666666666666,retrieval,42
3,72,0.9722222222222222,retrieval,42
4,56,0.8214285714285714,retrieval,42
5,95,0.9368421052631579,retrieval,42
6,62,0.8225806451612904,retrieval,42
7,46,0.8043478260869565,retrieval,42
8,93,0.9354838709677419,retrieval,42
9,40,0.85,retrieval,42
10,91,0.989010989010989,retrieval,42
11,40,0.925,retrieval,42
12,120,0.9833333333333333,retrieval,42
13,74,0.8648648648648649,retrieval,42
14,53,0.8867924528301887,retrieval,42
15,111,0.963963963963964,retrieval,42
16,105,0.9333333333333333,retrieval,42
17,63,0.9523809523809523,retrieval,42
18,67,0.8955223880597015,retrieval,42
19,114,0.956140350877193,retrieval,42
20,92,0.9782608695652174,retrieval,42
21,99,0.898989898989899,retrieval,42
22,68,0.9411764705882353,retrieval,42
23,80,0.975,retrieval,42
24,106,0.8773584905660378,retrieval,42
25,69,0.855072463768116,retrieval,42
26,83,0.9036144578313253,retrieval,42
0,56,0.9107142857142857,retrieval,52
1,114,0.9824561403508771,retrieval,52
2,120,0.9416666666666667,retrieval,52
3,72,1.0,retrieval,52
4,56,0.9107142857142857,retrieval,52
5,95,0.968421052631579,retrieval,52
6,62,0.7741935483870968,retrieval,52
7,46,0.7608695652173914,retrieval,52
8,93,0.956989247311828,retrieval,52
9,40,0.9,retrieval,52
10,91,0.967032967032967,retrieval,52
11,40,0.875,retrieval,52
12,120,0.9833333333333333,retrieval,52
13,74,0.8513513513513513,retrieval,52
14,53,0.9245283018867925,retrieval,52
15,111,0.972972972972973,retrieval,52
16,105,0.9714285714285714,retrieval,52
17,63,0.9523809523809523,retrieval,52
18,67,0.9104477611940298,retrieval,52
19,114,0.9649122807017544,retrieval,52
20,92,0.9891304347826086,retrieval,52
21,99,0.8888888888888888,retrieval,52
22,68,0.9117647058823529,retrieval,52
23,80,0.95,retrieval,52
24,106,0.8962264150943396,retrieval,52
25,69,0.855072463768116,retrieval,52
26,83,0.891566265060241,retrieval,52
0,56,0.8928571428571429,retrieval,62
1,114,0.9473684210526315,retrieval,62
2,120,0.9,retrieval,62
3,72,0.9722222222222222,retrieval,62
4,56,0.8214285714285714,retrieval,62
5,95,0.9578947368421052,retrieval,62
6,62,0.9032258064516129,retrieval,62
7,46,0.6956521739130435,retrieval,62
8,93,0.9139784946236559,retrieval,62
9,40,0.975,retrieval,62
10,91,0.9560439560439561,retrieval,62
11,40,0.9,retrieval,62
12,120,0.9916666666666667,retrieval,62
13,74,0.9324324324324325,retrieval,62
14,53,0.9056603773584906,retrieval,62
15,111,0.963963963963964,retrieval,62
16,105,0.8952380952380953,retrieval,62
17,63,0.9682539682539683,retrieval,62
18,67,0.8805970149253731,retrieval,62
19,114,1.0,retrieval,62
20,92,0.9891304347826086,retrieval,62
21,99,0.8787878787878788,retrieval,62
22,68,0.9558823529411765,retrieval,62
23,80,0.9625,retrieval,62
24,106,0.8679245283018868,retrieval,62
25,69,0.927536231884058,retrieval,62
26,83,0.9036144578313253,retrieval,62
0,56,0.48214285714285715,full_cvae,42
1,114,0.6842105263157895,full_cvae,42
2,120,0.6583333333333333,full_cvae,42
3,72,0.7916666666666666,full_cvae,42
4,56,0.8035714285714286,full_cvae,42
5,95,0.631578947368421,full_cvae,42
6,62,0.3064516129032258,full_cvae,42
7,46,0.30434782608695654,full_cvae,42
8,93,0.27956989247311825,full_cvae,42
9,40,0.475,full_cvae,42
10,91,0.7912087912087912,full_cvae,42
11,40,0.225,full_cvae,42
12,120,0.775,full_cvae,42
13,74,0.6216216216216216,full_cvae,42
14,53,0.32075471698113206,full_cvae,42
15,111,0.6486486486486487,full_cvae,42
16,105,0.6285714285714286,full_cvae,42
17,63,0.4603174603174603,full_cvae,42
18,67,0.5671641791044776,full_cvae,42
19,114,0.5877192982456141,full_cvae,42
20,92,0.42391304347826086,full_cvae,42
21,99,0.6868686868686869,full_cvae,42
22,68,0.6323529411764706,full_cvae,42
23,80,0.525,full_cvae,42
24,106,0.49056603773584906,full_cvae,42
25,69,0.4057971014492754,full_cvae,42
26,83,0.3373493975903614,full_cvae,42
0,56,0.5714285714285714,full_cvae,52
1,114,0.631578947368421,full_cvae,52
2,120,0.5583333333333333,full_cvae,52
3,72,0.7777777777777778,full_cvae,52
4,56,0.5714285714285714,full_cvae,52
5,95,0.6,full_cvae,52
6,62,0.27419354838709675,full_cvae,52
7,46,0.2826086956521739,full_cvae,52
8,93,0.3870967741935484,full_cvae,52
9,40,0.425,full_cvae,52
10,91,0.8131868131868132,full_cvae,52
11,40,0.275,full_cvae,52
12,120,0.7083333333333334,full_cvae,52
13,74,0.6216216216216216,full_cvae,52
14,53,0.33962264150943394,full_cvae,52
15,111,0.5585585585585585,full_cvae,52
