figure,panel,descriptor,bin_left,bin_right,bin_center,training_density,final_candidate_count,bin_rule,central_interval_low,central_interval_high,central_interval_definition,n_final_candidates,n_final_within_central_interval
Figure 3,A,length,4.5,6.5,5.5,0.022462732285072493,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,6.5,8.5,7.5,0.023953440882172758,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,8.5,10.5,9.5,0.04807024709005513,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,10.5,12.5,11.5,0.031774555850520726,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,12.5,14.5,13.5,0.028119256687768022,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,14.5,16.5,15.5,0.024096385542168676,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,16.5,18.5,17.5,0.023545027567898714,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,18.5,20.5,19.5,0.027261588727792527,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,20.5,22.5,21.5,0.02209516030222585,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,22.5,24.5,23.5,0.021462119665101084,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,24.5,26.5,25.5,0.01964468041658158,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,26.5,28.5,27.5,0.0189095364508883,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,28.5,30.5,29.5,0.018929957116602,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,30.5,32.5,31.5,0.01658158055952624,0,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,32.5,34.5,33.5,0.02035940371656116,1,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
Figure 3,A,length,34.5,36.5,35.5,0.01831733714519093,1,left-closed/right-open except final bin includes right edge,7.0,48.0,training 5-95% interval,12,9
