source_table,stage,definition,count,count_source,fraction_of_generated,percent_of_generated,metric,metric_column,n,median,q1,q3,iqr_low,iqr_high,bootstrap_ci_low,bootstrap_ci_high,plotted_error_type,available
Figure_3_panel_a,Generated,All generated OncoPep outputs,10840.0,locked_or_explicit,1.0,100.0,,,,,,,,,,,,
Figure_3_panel_a,QC-passed,Generated outputs passing syntax/QC filters,10291.0,locked_or_explicit,0.9493542435424355,94.93542435424355,,,,,,,,,,,,
Figure_3_panel_a,Descriptor-plausible,QC-passed outputs retained by descriptor plausibility filtering,10237.0,locked_or_explicit,0.9443726937269372,94.43726937269372,,,,,,,,,,,,
Figure_3_panel_a,Shortlist,Diversity-aware shortlist,24.0,locked_or_explicit,0.002214022140221402,0.22140221402214022,,,,,,,,,,,,
Figure_3_panel_a,Final panel,Final diversity-enriched panel,12.0,locked_or_explicit,0.001107011070110701,0.11070110701107011,,,,,,,,,,,,
Figure_3_panel_b,Descriptor-plausible,,,,,,Novelty,novelty_score,10237.0,0.9387755102040816,0.9166666666666669,0.9545454545454546,0.9166666666666669,0.9545454545454546,0.9375,0.94,IQR,1.0
Figure_3_panel_b,Descriptor-plausible,,,,,,Plausibility,plausibility_score,10237.0,0.5334610430000105,0.46446292042447,0.6000530592183674,0.46446292042447,0.6000530592183674,0.5314702088892969,0.5357287531211413,IQR,1.0
Figure_3_panel_b,Descriptor-plausible,,,,,,Diversity,diversity_score,10237.0,0.8823529411764706,0.8421052631578947,0.9107142857142856,0.8421052631578947,0.9107142857142856,0.8823529411764706,0.8837209302325582,IQR,1.0
Figure_3_panel_b,Shortlist,,,,,,Novelty,novelty_score,24.0,0.9478221415607986,0.9439102564102564,0.9520817704426106,0.9439102564102564,0.9520817704426106,0.945945945945946,0.95,IQR,1.0
Figure_3_panel_b,Shortlist,,,,,,Plausibility,plausibility_score,24.0,0.7593031599261378,0.7441020922404722,0.7815745248501845,0.7441020922404722,0.7815745248501845,0.7499300884463814,0.7736212240194176,IQR,1.0
Figure_3_panel_b,Shortlist,,,,,,Diversity,diversity_score,24.0,0.9076704545454546,0.8888888888888888,0.919189189189189,0.8888888888888888,0.919189189189189,0.8928571428571429,0.9189189189189187,IQR,1.0
Figure_3_panel_b,Final panel,,,,,,Novelty,novelty_score,12.0,0.9473522167487685,0.9455705705705706,0.9520817704426106,0.9455705705705706,0.9520817704426106,0.9451951951951952,0.9525506376594148,IQR,1.0
Figure_3_panel_b,Final panel,,,,,,Plausibility,plausibility_score,12.0,0.7694503553768364,0.7566646612582039,0.7974373734684592,0.7566646612582039,0.7974373734684592,0.75653101274422,0.8001873307006155,IQR,1.0
Figure_3_panel_b,Final panel,,,,,,Diversity,diversity_score,12.0,0.9076704545454546,0.9014705882352942,0.9189189189189187,0.9014705882352942,0.9189189189189187,0.9009803921568629,0.9189189189189187,IQR,1.0
Figure_3_panel_c,Descriptor-plausible,,,,,,Composite score,final_score,10237.0,0.7766856086190471,0.7471988911261396,0.8012991460656625,0.7471988911261396,0.8012991460656625,0.7757855309112313,0.777632857789873,IQR,1.0
Figure_3_panel_c,Shortlist,,,,,,Composite score,final_score,24.0,0.8673098974607338,0.864269352364358,0.8717859623403681,0.864269352364358,0.8717859623403681,0.8648162974222158,0.8713545047946586,IQR,1.0
Figure_3_panel_c,Final panel,,,,,,Composite score,final_score,12.0,0.8721309189331284,0.8704868758262045,0.8751259786025724,0.8704868758262045,0.8751259786025724,0.8704733899376917,0.8754366826591677,IQR,1.0
