context,nearest_neighbor_similarity,panel,summary_metric,similarity,n,category,reference_fraction,final_panel_fraction
Reference context,0.1111111111111111,Figure_5A,,,,,,
Reference context,0.1052631578947368,Figure_5A,,,,,,
Reference context,0.1,Figure_5A,,,,,,
Reference context,0.0833333333333333,Figure_5A,,,,,,
Reference context,0.1363636363636363,Figure_5A,,,,,,
Reference context,0.1071428571428571,Figure_5A,,,,,,
Reference context,0.1212121212121212,Figure_5A,,,,,,
Reference context,0.0967741935483871,Figure_5A,,,,,,
Reference context,0.1111111111111111,Figure_5A,,,,,,
Reference context,0.15,Figure_5A,,,,,,
Reference context,0.1162790697674418,Figure_5A,,,,,,
Reference context,0.1153846153846153,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Final-panel context,0.0857142857142857,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Final-panel context,0.0357142857142857,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Final-panel context,0.0588235294117647,Figure_5A,,,,,,
Final-panel context,0.088235294117647,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Final-panel context,0.0,Figure_5A,,,,,,
Reference context,,Figure_5B,median,0.1111111111111111,12.0,,,
Reference context,,Figure_5B,p90,0.1348484848484848,12.0,,,
Reference context,,Figure_5B,max,0.15,12.0,,,
Final-panel context,,Figure_5B,median,0.0,12.0,,,
Final-panel context,,Figure_5B,p90,0.08302521008403362,12.0,,,
Final-panel context,,Figure_5B,max,0.088235294117647,12.0,,,
,,Figure_5C,,,,Hydrophobic,0.4274804711177701,0.4377358490566038
,,Figure_5C,,,,Aromatic,0.09314880495363737,0.1471698113207547
,,Figure_5C,,,,Positive,0.19787350444353954,0.25660377358490566
,,Figure_5C,,,,Negative,0.0775194822553722,0.12452830188679245
,,Figure_5C,,,,Polar,0.5065526277342767,0.539622641509434
