panel,model_tag,temperature,condition_fidelity,retrieval_in_legend,retrieval_reference_not_sampled,selected_temperature,valid_rate,low_complexity_rate,exact_train_overlap_rate,metrics_with_lower_is_better,figure_note
A,conditional_gru_lm,0.8,0.5996649916247906,False,False,1.0,,,,,
A,conditional_gru_lm,1.0,0.5425612913050099,False,False,1.0,,,,,
A,conditional_gru_lm,1.2,0.4571341556266179,False,False,1.0,,,,,
A,full_cvae,0.8,0.615044921577585,False,False,1.0,,,,,
A,full_cvae,1.0,0.5241358306684939,False,False,1.0,,,,,
A,full_cvae,1.2,0.45302268920359373,False,False,1.0,,,,,
A,no_condition,0.8,0.040048728490939496,False,False,1.0,,,,,
A,no_condition,1.0,0.0424851530379168,False,False,1.0,,,,,
A,no_condition,1.2,0.03806913354652044,False,False,1.0,,,,,
A,random_condition,0.8,0.03715547434140397,False,False,1.0,,,,,
A,random_condition,1.0,0.038069133546520396,False,False,1.0,,,,,
A,random_condition,1.2,0.04065783462768383,False,False,1.0,,,,,
A,retrieval,0.8,0.9267549870564945,False,True,1.0,,,,,
A,retrieval,1.0,0.9267549870564945,False,True,1.0,,,,,
A,retrieval,1.2,0.9267549870564945,False,True,1.0,,,,,
A,small_latent,0.8,0.04553068372163847,False,False,1.0,,,,,
A,small_latent,1.0,0.03700319780721787,False,False,1.0,,,,,
A,small_latent,1.2,0.04263742957210287,False,False,1.0,,,,,
B,full_cvae,,0.5241358306684939,,,1.0,0.9939089386325568,0.0199482259783767,0.0,"Low-complexity fraction, Exact train overlap","Lower is better for low-complexity and exact-overlap metrics; this note should be stated in the caption/README, not embedded in the figure."
