panel,data_type,source_a,source_b,source_pair,descriptor,descriptor_column,cliffs_delta,abs_cliffs_delta,ks_stat,ks_pvalue,x_n_input,y_n_input,x_n_used,y_n_used,subsampled,cliffs_delta_method,mean_abs_cliffs_delta,max_abs_cliffs_delta,n_pairwise_comparisons
A,pairwise_cliffs_delta,dbAMPseq,APD3,dbAMPseq vs APD3,Length,length,-0.13434495597566368,0.13434495597566368,0.13650701682107275,5.168401197182524e-41,43641.0,2646.0,43641.0,2646.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,APD3,dbAMPseq vs APD3,Net charge,net_charge_pH7,-0.15115820011773032,0.15115820011773032,0.13988374846283697,4.704693624469226e-43,43641.0,2646.0,43641.0,2646.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,APD3,dbAMPseq vs APD3,Hydrophobicity,hydrophobicity_KD,-0.3697342363030265,0.3697342363030265,0.2844428575949066,3.968657922319843e-179,43641.0,2646.0,43641.0,2646.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,APD3,dbAMPseq vs APD3,Shannon entropy,shannon_entropy,0.03639252013650924,0.03639252013650924,0.12779181469338496,5.579695112712303e-36,43641.0,2646.0,43641.0,2646.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,APD3,dbAMPseq vs APD3,Max homopolymer run,max_homopolymer_run,0.002740831393114469,0.002740831393114469,0.047080563166354006,3.0327359977257065e-05,43641.0,2646.0,43641.0,2646.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,APD3,dbAMPseq vs APD3,Dominant residue fraction,dominant_residue_fraction,-0.05790435959804869,0.05790435959804869,0.12320857858965864,1.8132801558663638e-33,43641.0,2646.0,43641.0,2646.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,CancerPPD2,dbAMPseq vs CancerPPD2,Length,length,0.34950447143010377,0.34950447143010377,0.29715823671995717,6.052826850944279e-22,43641.0,276.0,43641.0,276.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,CancerPPD2,dbAMPseq vs CancerPPD2,Net charge,net_charge_pH7,-0.021748013850823037,0.021748013850823037,0.12005812244767833,0.0006720974536392118,43641.0,276.0,43641.0,276.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,CancerPPD2,dbAMPseq vs CancerPPD2,Hydrophobicity,hydrophobicity_KD,-0.1974286080533895,0.1974286080533895,0.2251126533385538,1.1086860865543025e-12,43641.0,276.0,43641.0,276.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,dbAMPseq,CancerPPD2,dbAMPseq vs CancerPPD2,Shannon entropy,shannon_entropy,0.42695532289307786,0.42695532289307786,0.3297482522916723,4.810390298446854e-27,43641.0,276.0,43641.0,276.0,False,exact_sorted_search,,,
