condition,condition_display,split,split_display,level,level_display,n_sequences,split_total,fraction,is_primary,panel,data_type,metric_name,metric_definition,n_primary_condition_ids,n_full_descriptor_bin_ids
length,Length,train,Train,low,Low,7560,24485.0,0.30876046559117826,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,train,Train,mid,Mid,8616,24485.0,0.3518889115785175,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,train,Train,high,High,8309,24485.0,0.33935062283030426,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,val,Validation,low,Low,2464,13260.0,0.18582202111613877,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,val,Validation,mid,Mid,5648,13260.0,0.42594268476621416,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,val,Validation,high,High,5148,13260.0,0.38823529411764707,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,test,Test,low,Low,3244,13260.0,0.24464555052790346,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,test,Test,mid,Mid,5903,13260.0,0.4451734539969834,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
length,Length,test,Test,high,High,4113,13260.0,0.31018099547511313,True,A,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,train,Train,low,Low,8157,24485.0,0.3331427404533388,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,train,Train,mid,Mid,8162,24485.0,0.3333469471104758,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,train,Train,high,High,8166,24485.0,0.3335103124361854,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,val,Validation,low,Low,2693,13260.0,0.2030920060331825,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,val,Validation,mid,Mid,4277,13260.0,0.32254901960784316,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,val,Validation,high,High,6278,13260.0,0.47345399698340873,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,test,Test,low,Low,2725,13260.0,0.2055052790346908,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,test,Test,mid,Mid,3642,13260.0,0.2746606334841629,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
net_charge_pH7,Net charge at pH 7,test,Test,high,High,6883,13260.0,0.519079939668175,True,B,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,train,Train,low,Low,8161,24485.0,0.3333061057790484,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,train,Train,mid,Mid,8161,24485.0,0.3333061057790484,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,train,Train,high,High,8163,24485.0,0.3333877884419032,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,val,Validation,low,Low,3846,13260.0,0.2900452488687783,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,val,Validation,mid,Mid,4158,13260.0,0.31357466063348416,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,val,Validation,high,High,5256,13260.0,0.39638009049773754,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,test,Test,low,Low,4844,13260.0,0.36530920060331823,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,test,Test,mid,Mid,4249,13260.0,0.3204374057315234,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
hydrophobicity_KD,Kyte–Doolittle hydrophobicity,test,Test,high,High,4167,13260.0,0.31425339366515836,True,C,condition_bin_fraction,fraction,Fraction of sequences in each train-derived low/mid/high bin for a split.,,
,,train,Train,,,24485,,,,D,condition_support_summary,supported_condition_ids,Number of distinct primary condition IDs and full descriptor-bin IDs represented in each split.,27.0,76.0
,,val,Validation,,,13260,,,,D,condition_support_summary,supported_condition_ids,Number of distinct primary condition IDs and full descriptor-bin IDs represented in each split.,31.0,78.0
,,test,Test,,,13260,,,,D,condition_support_summary,supported_condition_ids,Number of distinct primary condition IDs and full descriptor-bin IDs represented in each split.,28.0,73.0
