condition_id,condition_full,none,test,val,support_total,diagonal_fraction,low_support_flag,panel,original_n_conditions,display_truncated,low_support_threshold_quantile,low_support_threshold,figure_panel,support_bin,summary_type,n_condition_ids,support_count,support_fraction,feature,score,source_table,source_feature_column,source_value_column,feature_display,metric_label
C12,length=low|net_charge_pH7=high|hydrophobicity_KD=mid,580.0,0.0,1.0,581.0,1.0,True,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C15,length=low|net_charge_pH7=low|hydrophobicity_KD=mid,780.0,0.0,6.0,786.0,1.0,True,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C10,length=low|net_charge_pH7=high|hydrophobicity_KD=high,958.0,0.0,5.0,963.0,1.0,True,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C14,length=low|net_charge_pH7=low|hydrophobicity_KD=low,1055.0,0.0,3.0,1058.0,1.0,True,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C18,length=low|net_charge_pH7=mid|hydrophobicity_KD=mid,1069.0,0.0,5.0,1074.0,1.0,True,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C08,length=high|net_charge_pH7=mid|hydrophobicity_KD=low,1080.0,0.0,3.0,1083.0,1.0,True,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C05,length=high|net_charge_pH7=low|hydrophobicity_KD=low,1190.0,1.0,14.0,1205.0,1.0,True,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C23,length=mid|net_charge_pH7=low|hydrophobicity_KD=low,1263.0,1.0,7.0,1271.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C26,length=mid|net_charge_pH7=mid|hydrophobicity_KD=low,1378.0,0.0,5.0,1383.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C07,length=high|net_charge_pH7=mid|hydrophobicity_KD=high,1395.0,0.0,41.0,1436.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C01,length=high|net_charge_pH7=high|hydrophobicity_KD=high,1385.0,0.0,57.0,1442.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C24,length=mid|net_charge_pH7=low|hydrophobicity_KD=mid,1440.0,0.0,10.0,1450.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C04,length=high|net_charge_pH7=low|hydrophobicity_KD=high,1542.0,0.0,30.0,1572.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C27,length=mid|net_charge_pH7=mid|hydrophobicity_KD=mid,1715.0,0.0,14.0,1729.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C06,length=high|net_charge_pH7=low|hydrophobicity_KD=mid,1948.0,1.0,29.0,1978.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C17,length=low|net_charge_pH7=mid|hydrophobicity_KD=low,2044.0,0.0,0.0,2044.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C09,length=high|net_charge_pH7=mid|hydrophobicity_KD=mid,2040.0,0.0,15.0,2055.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C13,length=low|net_charge_pH7=low|hydrophobicity_KD=high,2093.0,0.0,19.0,2112.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C22,length=mid|net_charge_pH7=low|hydrophobicity_KD=high,2112.0,1.0,30.0,2143.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C11,length=low|net_charge_pH7=high|hydrophobicity_KD=low,2300.0,0.0,0.0,2300.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C16,length=low|net_charge_pH7=mid|hydrophobicity_KD=high,2332.0,0.0,18.0,2350.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C19,length=mid|net_charge_pH7=high|hydrophobicity_KD=high,2608.0,0.0,32.0,2640.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C02,length=high|net_charge_pH7=high|hydrophobicity_KD=low,2848.0,1.0,20.0,2869.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C25,length=mid|net_charge_pH7=mid|hydrophobicity_KD=high,2889.0,0.0,38.0,2927.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C21,length=mid|net_charge_pH7=high|hydrophobicity_KD=mid,2969.0,0.0,30.0,2999.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C20,length=mid|net_charge_pH7=high|hydrophobicity_KD=low,3616.0,0.0,7.0,3623.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
C03,length=high|net_charge_pH7=high|hydrophobicity_KD=mid,3836.0,1.0,73.0,3910.0,1.0,False,A,27.0,False,0.25,1238.0,Supplementary Figure S9A,,,,,,,,,,,,
,,,,,,,,B,,,,,Supplementary Figure S9B,Top 10%,cumulative_top_support_fraction,3.0,10532.0,0.20657866347606066,,,,,,,
,,,,,,,,B,,,,,Supplementary Figure S9B,Top 25%,cumulative_top_support_fraction,7.0,21318.0,0.41813937979326443,,,,,,,
,,,,,,,,B,,,,,Supplementary Figure S9B,Top 50%,cumulative_top_support_fraction,14.0,35679.0,0.6998215091304945,,,,,,,
,,,,,,,,B,,,,,Supplementary Figure S9B,Bottom 50%,remaining_lower_support_fraction,13.0,15304.0,0.30017849086950554,,,,,,,
,,,,,,,,C,,,,,Supplementary Figure S9C,,,,,,AA composition only,0.6091546570521748,descriptor_recoverability_fallback,block,macro_f1,AA composition only,Descriptor recoverability
,,,,,,,,C,,,,,Supplementary Figure S9C,,,,,,Physicochemical only,0.8766734888647605,descriptor_recoverability_fallback,block,macro_f1,Physchem,Descriptor recoverability
,,,,,,,,C,,,,,Supplementary Figure S9C,,,,,,Computable descriptors,0.893888926706168,descriptor_recoverability_fallback,block,macro_f1,Computed,Descriptor recoverability
,,,,,,,,C,,,,,Supplementary Figure S9C,,,,,,Full numeric descriptor set,1.0,descriptor_recoverability_fallback,block,macro_f1,All descriptors,Descriptor recoverability
